drop_id,drop_date,audience_type,customer_id,is_mailed
dm_2024_spring_buyer,2024-03-15,buyer_file,1175,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1266,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1032,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1098,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2445,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2294,1
dm_2024_spring_buyer,2024-03-15,buyer_file,563,1
dm_2024_spring_buyer,2024-03-15,buyer_file,167,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1258,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1147,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2172,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2345,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1133,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1146,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1291,1
dm_2024_spring_buyer,2024-03-15,buyer_file,914,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1997,1
dm_2024_spring_buyer,2024-03-15,buyer_file,368,0
dm_2024_spring_buyer,2024-03-15,buyer_file,517,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2179,1
dm_2024_spring_buyer,2024-03-15,buyer_file,68,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2446,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2188,1
dm_2024_spring_buyer,2024-03-15,buyer_file,507,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2130,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2313,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1496,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1352,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2443,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1359,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2050,1
dm_2024_spring_buyer,2024-03-15,buyer_file,866,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1140,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1138,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1298,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1526,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1565,1
dm_2024_spring_buyer,2024-03-15,buyer_file,652,1
dm_2024_spring_buyer,2024-03-15,buyer_file,688,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2316,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1439,0
dm_2024_spring_buyer,2024-03-15,buyer_file,622,1
dm_2024_spring_buyer,2024-03-15,buyer_file,514,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1912,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2392,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1919,0
dm_2024_spring_buyer,2024-03-15,buyer_file,211,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1247,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1574,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1466,1
dm_2024_spring_buyer,2024-03-15,buyer_file,51,1
dm_2024_spring_buyer,2024-03-15,buyer_file,955,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1578,1
dm_2024_spring_buyer,2024-03-15,buyer_file,413,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1617,1
dm_2024_spring_buyer,2024-03-15,buyer_file,574,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1232,0
dm_2024_spring_buyer,2024-03-15,buyer_file,2105,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1626,1
dm_2024_spring_buyer,2024-03-15,buyer_file,116,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1717,1
dm_2024_spring_buyer,2024-03-15,buyer_file,43,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1179,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1721,1
dm_2024_spring_buyer,2024-03-15,buyer_file,639,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1623,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2434,0
dm_2024_spring_buyer,2024-03-15,buyer_file,67,1
dm_2024_spring_buyer,2024-03-15,buyer_file,541,0
dm_2024_spring_buyer,2024-03-15,buyer_file,822,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1368,1
dm_2024_spring_buyer,2024-03-15,buyer_file,250,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1421,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1962,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1417,0
dm_2024_spring_buyer,2024-03-15,buyer_file,103,1
dm_2024_spring_buyer,2024-03-15,buyer_file,294,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1448,1
dm_2024_spring_buyer,2024-03-15,buyer_file,828,0
dm_2024_spring_buyer,2024-03-15,buyer_file,19,1
dm_2024_spring_buyer,2024-03-15,buyer_file,275,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1694,1
dm_2024_spring_buyer,2024-03-15,buyer_file,931,1
dm_2024_spring_buyer,2024-03-15,buyer_file,367,0
dm_2024_spring_buyer,2024-03-15,buyer_file,2390,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1925,1
dm_2024_spring_buyer,2024-03-15,buyer_file,380,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1251,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2341,0
dm_2024_spring_buyer,2024-03-15,buyer_file,216,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1348,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2038,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1689,1
dm_2024_spring_buyer,2024-03-15,buyer_file,2233,1
dm_2024_spring_buyer,2024-03-15,buyer_file,246,0
dm_2024_spring_buyer,2024-03-15,buyer_file,1446,1
dm_2024_spring_buyer,2024-03-15,buyer_file,536,1
dm_2024_spring_buyer,2024-03-15,buyer_file,725,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1024,1
dm_2024_spring_buyer,2024-03-15,buyer_file,1201,1
dm_2024_spring_buyer,2024-03-15,buyer_file,307,1
dm_2024_spring_buyer,2024-03-15,buyer_file,862,1
dm_2024_spring_buyer,2024-03-15,buyer_file,992,1
